,genomic element,overlaps,shuffle_overlap1,shuffle_overlap2,shuffle_overlap3,shuffle_overlap4,shuffle_overlap5,fe1,fe2,fe3,fe4,fe5,fe_mean,se
0,ce-11-beds/c-elegans-11-CDS.bed,1190,1830,1820,1834,1812,1868,0.6502732240437158,0.6538461538461539,0.648854961832061,0.6567328918322296,0.6370449678800857,0.6493504398868493,0.003370709948526561
1,ce-11-beds/c-elegans-11-promoter.bed,19,49,41,33,33,31,0.3877551020408163,0.4634146341463415,0.5757575757575758,0.5757575757575758,0.6129032258064516,0.5231176227017522,0.04212531464715903
2,ce-11-beds/c-elegans-11-exon.bed,980,1868,1910,1895,1868,1869,0.5246252676659529,0.5130890052356021,0.5171503957783641,0.5246252676659529,0.5243445692883895,0.5207669011268522,0.0023937720278537303
3,ce-11-beds/c-elegans-11-five_prime_UTR.bed,90,289,317,281,299,286,0.31141868512110726,0.28391167192429023,0.3202846975088968,0.3010033444816054,0.3146853146853147,0.30626074274424286,0.006408472096380113
4,ce-11-beds/c-elegans-11-three_prime_UTR.bed,96,332,323,347,305,327,0.2891566265060241,0.29721362229102166,0.276657060518732,0.31475409836065577,0.29357798165137616,0.2942718778655619,0.0061850800126751005
5,ce-11-beds/c-elegans-11-intron.bed,2553,2555,2550,2546,2546,2566,0.9992172211350293,1.0011764705882353,1.0027494108405341,1.0027494108405341,0.994933749025721,1.000165252486011,0.001460234617283137
6,ce-11-beds/c-elegans-11-gene.bed,2444,2479,2479,2489,2479,2506,0.9858814037918515,0.9858814037918515,0.9819204499799116,0.9858814037918515,0.9752593774940144,0.982964807769896,0.002073450457520443
7,ce-11-beds/c-elegans-11-lincRNA.bed,75,152,155,149,179,154,0.4934210526315789,0.4838709677419355,0.5033557046979866,0.41899441340782123,0.487012987012987,0.4773310250984618,0.014959686551049813
8,ce-11-beds/c-elegans-11-miRNA.bed,1,7,2,4,2,7,0.14285714285714285,0.5,0.25,0.5,0.14285714285714285,0.3071428571428571,0.08112726208286106
9,ce-11-beds/c-elegans-11-ncRNA.bed,117,153,152,139,161,161,0.7647058823529411,0.7697368421052632,0.841726618705036,0.7267080745341615,0.7267080745341615,0.7659170984463126,0.021021222562198887
10,ce-11-beds/c-elegans-11-TSS_region.bed,156,635,666,611,605,601,0.24566929133858267,0.23423423423423423,0.2553191489361702,0.2578512396694215,0.259567387687188,0.2505282603731193,0.004729637034122391
