Gene Name,log2FoldChange,Annotation
FGFR1OP2,-2.66627924001344e-05,Promoter
USP11,1.02584283259057e-05,Intron
COX7A2L,-3.99357285060651e-06,Promoter
APEX2,-6.28405379225653e-06,Promoter
TBC1D23,-1.92069911976455e-05,Promoter
NPRL3,7.85595466927282e-06,Promoter
DDX11L2,-1.21788342881207e-06,Promoter
PHF23,-5.22271550318285e-06,Promoter
DCTN4,2.39995341926578e-06,Promoter
SLC12A6,3.39355022114712e-07,Promoter
NNMT,1.34206494624733e-05,Promoter
HGH1,-4.29451431260142e-07,Intergenic
TMEM9,7.39643824230626e-07,Promoter
PPP3CB-AS1,4.18871977129903e-06,Promoter
ZBTB26,1.52037280189333e-08,Promoter
DET1,-9.82148500695056e-07,Promoter
MIR210HG,-1.20901953574502e-07,Promoter
NUB1,5.42686238078048e-06,Promoter
SND1,1.1556048511887e-07,Promoter
YWHAQ,-5.8556946323128e-06,Promoter
STK11IP,1.02008002922623e-05,Promoter
ARRDC4,2.89237420337828e-07,Promoter
ZNF25,-3.96984696363507e-06,Promoter
SMIM2-AS1,2.76499307372599e-06,Promoter
PLEKHJ1,7.35508922388963e-06,Promoter
PLIN3,-8.18722939003461e-06,Promoter
METAP1,-1.77708968050246e-05,Promoter
AKR1B1,-4.40664459140952e-05,Intergenic
RPS17,-4.00953918842785e-06,Promoter
PQBP1,3.88166849953776e-05,Intergenic
MTMR12,-1.16471028992049e-05,Promoter
FGGY,3.18282360365226e-06,Promoter
CHMP4A,4.25802716709185e-07,Promoter
HNRNPA0,-7.78851714470706e-07,Promoter
PHKA2,1.53525247090541e-05,Promoter
OTUD5,-8.71095032779213e-06,Promoter
IPO5,2.17707396302726e-07,Intron
SENP7,6.56625310381447e-07,Intron
FAM156B,-1.09559886926623e-06,Promoter
INTS4,1.25776541739393e-05,Promoter
CCDC59,2.7917780530341e-06,Promoter
FNIP1,2.36436315683032e-06,Promoter
C1QTNF3,6.09415702163378e-07,Promoter
ALDH4A1,-6.6318907591251e-06,Promoter
TRIM68,1.58484386479117e-06,Promoter
DUSP23,-9.89063841622443e-06,Promoter
DHODH,1.2196562612395e-05,Promoter
BNIP3L,-5.7447428882536e-07,Intergenic
RNF7,-3.24455425865199e-06,Promoter
PRR14,-3.41063805060416e-06,Promoter
SQLE,1.33540940825053e-05,Promoter
GSN,-7.92310542777248e-06,Intron
GGA3,1.02199162933469e-05,Promoter
SCAF1,3.5319685764987e-06,Promoter
PRKCI,3.61837116302615e-05,Promoter
PER3,5.09499372679428e-07,Promoter
POLM,7.51317580150376e-06,Promoter
HMGCS1,2.37510272109066e-05,Promoter
MBP,-8.80482446619986e-06,Intron
SMARCD1,-0.0001083441567717,Promoter
CIC,-4.03848392918839e-05,Promoter
ZFP28,-5.09909278002066e-06,Promoter
MTERF3,-9.85526676832321e-06,Promoter
BUB3,7.66809512669385e-05,Promoter
SMARCAL1,-8.33998168737263e-06,Promoter
LUCAT1,4.06575642026577e-07,Intergenic
ASB6,4.31393000709779e-05,Promoter
CAPNS1,-8.34321138797043e-06,Promoter
ZNF778,-2.07474434020358e-06,Intergenic
TMEM68,1.6581098314248e-07,Promoter
NR6A1,-3.02174813646293e-07,Promoter
UBALD2,5.20847396311155e-06,Promoter
MAPKAPK3,-7.59510499223043e-06,Intron
PDHB,-2.14014563365959e-05,Promoter
NADK2,5.40533862785328e-06,Promoter
MEF2D,-9.57827249434543e-06,Promoter
FDXACB1,1.7600540446217e-06,Promoter
NDUFA4,2.41873588080266e-05,Promoter
SPATA24,-2.24280569087894e-06,Promoter
HS1BP3,5.29224982176081e-06,Intron
CCPG1,-1.98170653977249e-06,Promoter
SNHG5,2.34942178163188e-05,Promoter
ACER3,-9.58126355204472e-06,Promoter
FA2H,-4.17137126990104e-06,Intron
PTPN18,2.42587141342023e-05,Promoter
PSMA1,-1.68012018363758e-05,Promoter
ZNF692,1.32867344282155e-06,Promoter
DIMT1,5.46955329218139e-06,Promoter
SMARCA5,1.37533538305093e-05,Promoter
OS9,-2.46072184375442e-06,Promoter
MTM1,-8.33255462700079e-06,Promoter
DTWD2,-3.75340759246606e-06,Promoter
MLLT10,2.79180015522217e-05,Promoter
SLC44A1,-5.10967339590476e-05,Promoter
CHMP7,8.93815893474016e-07,Promoter
TRAM2,-8.11438092002872e-06,Promoter
CHRNA5,5.36925181190351e-06,Promoter
CREB3L2,4.56079837861729e-05,Promoter
UBR7,-1.47451840608272e-05,Promoter
UACA,8.02707663939587e-06,Promoter
POT1-AS1,4.07208910238434e-07,Promoter
WDR91,1.25454949164105e-06,Promoter
ZRANB3,-3.82890016514187e-06,Promoter
RDH10-AS1,-8.34668310699012e-08,Promoter
TMEM192,1.15868730645188e-05,Promoter
GHITM,-0.0002414464098961,Intron
WDR89,6.28000242232124e-06,Promoter
PNN,5.31488846049411e-05,Promoter
ATP6V0E2-AS1,5.61299226075284e-07,Promoter
FAM156A,6.76617148089668e-07,Promoter
UCHL5,-9.92971416856057e-07,Promoter
GINS4,2.52320123208103e-05,Promoter
ANKRD13B,-4.28447117866844e-06,Intergenic
ZSCAN5A,1.20252553095789e-05,Promoter
NAP1L1,-3.52037611100544e-06,Promoter
B3GNTL1,-3.78494019621018e-07,Intron
LYST,-2.89991234026926e-06,Intergenic
DAD1,8.8371431002469e-08,Promoter
DPH3,3.00856304934636e-06,Promoter
FAR1,-1.20141489857037e-06,Promoter
EMC2,8.81026045611491e-07,Promoter
AP3S2,-3.13409556300075e-07,Promoter
RAB22A,3.17334515702002e-07,Promoter
EPAS1,1.84088272560647e-05,Intron
GOLGB1,-8.14598575141052e-06,Promoter
ZP3,-1.31567985224908e-06,Intron
NIFK,-2.05076309904931e-07,Promoter
PAPSS1,-2.89016550924736e-06,Promoter
KAT7,1.00442243519781e-05,Intron
YWHAB,-1.34849871884609e-05,Promoter
TACC1,-7.45283464984766e-06,Promoter
HHIPL2,-1.5986277109778e-06,Intergenic
C2orf69,-7.46695560503787e-06,Promoter
FAM193A,1.13345779793913e-05,Promoter
AKAP6,2.86736404106236e-06,Intron
ZBTB38,-2.9341866556789e-07,Intron
NPTX1,0.743372091989237,Intergenic
NAGA,4.78436371907778e-06,Promoter
HSPA9,-1.20831401443924e-05,Promoter
MRPS18B,-1.11053659995333e-05,Promoter
NREP,6.25598623602214e-06,Promoter
STAG1,4.35139304924396e-06,Promoter
MAP4,0.0001272422591305,Promoter
DPY19L1,-1.59333520165847e-05,Promoter
SLC4A7,-3.92509010716443e-05,Promoter
CDC73,-1.14602878042106e-05,Promoter
RCN3,-2.83809492992356e-07,Intron
NCL,9.8027360001668e-05,Promoter
KBTBD2,4.73035204742529e-06,Promoter
PHLPP1,4.60087216564961e-06,Promoter
TROAP,1.56337446762136e-05,Promoter
ULK4,-1.58441350626886e-06,Promoter
DNM2,-1.80213626187535e-06,Promoter
AKAP1,1.45370252695998e-05,Promoter
OPA3,-3.81382997612991e-07,Intron
DENND3,-1.25415814989208e-07,Intergenic
PCM1,-0.00013233462534,Promoter
MKNK1,6.69612160686818e-06,Promoter
XIAP,-5.30982389850357e-06,Promoter
GDI2,6.06690351805231e-08,Promoter
GORASP2,1.34886975695685e-05,Promoter
SIRT1,1.26816324600629e-05,Promoter
RIOK1,7.25496766318753e-06,Promoter
FAM120B,1.52667908207918e-06,Intron
