chr,start position,
chrI,11289,
chrI,91219,
chrI,91223,
chrI,93010,
chrI,93045,
chrI,93067,
chrI,109238,
chrI,109223,
chrI,109221,
chrI,109203,
chrI,109150,
chrI,109093,
chrI,109020,
chrI,109014,
chrI,109003,
chrI,109000,
chrI,108996,
chrI,108986,
chrI,108959,
chrI,108946,
chrI,110659,
chrI,110386,
chrI,110310,
chrI,110784,
chrI,110790,
chrI,110800,
chrI,110837,
chrI,171267,
chrI,171283,
chrI,171292,
chrI,171298,
chrI,172993,
chrI,182920,
chrI,183342,
chrI,215961,
chrI,215969,
chrI,216000,
chrI,252505,
chrI,252052,
chrI,252060,
chrI,252092,
chrI,289122,
chrI,289213,
chrI,289232,
chrI,289237,
chrI,311222,
chrI,311161,
chrI,310928,
chrI,310888,
chrI,348400,
chrI,347484,
chrI,348484,
chrI,348493,
chrI,365968,
chrI,382469,
chrI,382583,
chrI,382590,
chrI,443658,
chrI,443664,
chrI,443677,
chrI,443687,
chrI,488508,
chrI,489982,
chrI,490017,
chrI,490027,
chrI,490036,
chrI,506249,
chrI,506411,
chrI,506443,
chrI,506451,
chrI,506454,
chrI,518563,
chrI,516612,
chrI,516601,
chrI,516592,
chrI,521394,
chrI,536618,
chrI,536946,
chrI,557446,
chrI,557451,
chrI,575122,
chrI,575115,
chrI,575096,
chrI,618163,
chrI,618179,
chrI,636878,
chrI,647246,
chrI,654096,
chrI,663597,
chrI,663593,
chrI,666887,
chrI,719730,
chrI,720034,
chrI,720040,
chrI,720053,
chrI,745518,
chrI,745506,
chrI,763639,
chrI,853365,
chrI,853383,
chrI,853393,
chrI,907466,
chrI,938496,
chrI,957387,
chrI,957375,
chrI,969367,
chrI,973135,
chrI,1014383,
chrI,1014359,
chrI,1015198,
chrI,1017687,
chrI,1053735,
chrI,1067115,
chrI,1067105,
chrI,1067100,
chrI,1067084,
chrI,1068582,
chrI,1068608,
chrI,1088516,
chrI,1128326,
chrI,1156133,
chrI,1156126,
chrI,1156111,
chrI,1156291,
chrI,1175836,
chrI,1175814,
chrI,1175806,
chrI,1175800,
chrI,1190620,
chrI,1219003,
chrI,1219000,
chrI,1335346,
chrI,1340243,
chrI,1340271,
chrI,1340275,
chrI,1340281,
chrI,1340309,
chrI,1385146,
chrI,1435348,
chrI,1471271,
chrI,1471277,
chrI,1471287,
chrI,1471298,
chrI,1511897,
chrI,1651386,
chrI,1651354,
chrI,1651332,
chrI,1651321,
chrI,1652902,
chrI,1656720,
chrI,1701975,
chrI,1719379,
chrI,1791344,
chrI,1808094,
chrI,1808097,
chrI,1811679,
chrI,1816107,
chrI,1822945,
chrI,1823328,
chrI,1823337,
chrI,1823349,
chrI,1823366,
chrI,1823431,
chrI,1832740,
chrI,1832771,
chrI,1832782,
chrI,1835683,
chrI,1835712,
chrI,1835718,
chrI,1835745,
chrI,1841828,
chrI,1842126,
chrI,1842156,
chrI,1843383,
chrI,1843387,
chrI,1873784,
chrI,1874045,
chrI,1874057,
chrI,1874096,
chrI,1874120,
chrI,1874126,
chrI,1874134,
chrI,1874137,
chrI,1895160,
chrI,1895188,
chrI,1895202,
chrI,1913936,
chrI,1932286,
chrI,1958529,
chrI,1978008,
chrI,1978019,
chrI,1978031,
chrI,1978035,
chrI,2010569,
chrI,2045073,
chrI,2055947,
chrI,2064035,
chrI,2064000,
chrI,2069652,
chrI,2069528,
chrI,2070851,
chrI,2070834,
chrI,2070829,
chrI,2070822,
chrI,2070816,
chrI,2070810,
chrI,2070786,
chrI,2076111,
chrI,2076203,
chrI,2076956,
chrI,2078947,
chrI,2222316,
chrI,2222314,
chrI,2222310,
chrI,2234944,
chrI,2234912,
chrI,2291130,
chrI,2304413,
chrI,2306806,
chrI,2306959,
chrI,2307370,
chrI,2313181,
chrI,2313214,
chrI,2316174,
chrI,2316181,
chrI,2316187,
chrI,2316197,
chrI,2316206,
