,Uniprot,Protein Symbol,Antibodypedia Link,Ref-ed Antibodies via Antibodypedia,Total Article Count,Term Article Count,'String' Interactions,GO Score,UV Score,Overall Score,GO Terms
0,A0A087WUL8,NA,https://www.antibodypedia.com/gene/82366/NBPF19,0,0,0,0,0,-4,-3.3877745197410785,['C:cytoplasm']
1,A0A5B6,NA,None,0,0,0,0,0,2,1.6938872598705392,"['C:plasma membrane', 'C:T cell receptor complex', 'F:peptide antigen binding', 'P:adaptive immune response', 'P:cell surface receptor signaling pathway']"
2,A2RRP1,NBAS,https://www.antibodypedia.com/gene/26924/NBAS,5,370,1,10,0,-2,-0.000524053171183203,"['C:cytosol', 'C:Dsl1/NZR complex', 'C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:membrane', 'F:SNARE binding', 'P:negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'P:nuclear-transcribed mRNA catabolic process', 'P:protein transport', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
3,A4UGR9,XIRP2,https://www.antibodypedia.com/gene/33785/XIRP2,3,62,0,4,0,-4,-2.661726110187586,"['C:anchoring junction', 'C:Z disc', 'F:actin filament binding', 'F:alpha-actinin binding', 'P:actin filament organization', 'P:cardiac muscle tissue morphogenesis', 'P:cell-cell junction organization', 'P:regulation of actin filament organization', 'P:ventricular septum development']"
4,A5PKW4,PSD,https://www.antibodypedia.com/gene/31428/PSD,1,10814,74,2,0,2,0.7439376059023008,"['C:cleavage furrow', 'C:dendritic spine', 'C:postsynaptic density, intracellular component', 'C:ruffle membrane', 'F:guanyl-nucleotide exchange factor activity', 'F:phospholipid binding', 'P:neuron projection development', 'P:regulation of ARF protein signal transduction', 'P:signal transduction']"
5,A6NCQ9,RNF222,https://www.antibodypedia.com/gene/62437/RNF222,0,0,0,0,0,1,0.8469436299352696,"['C:membrane', 'F:metal ion binding']"
6,A6NIE6,NA,None,0,0,0,0,2,-4,-2.5405029963164942,"['C:nucleus', 'F:RNA polymerase I core binding', 'F:RNA polymerase I general transcription initiation factor activity', 'P:transcription initiation at RNA polymerase I promoter']"
7,A6NJZ7,RIMBP3C,https://www.antibodypedia.com/gene/21503/RIMBP3C,0,1,0,0,0,2,1.693683917868733,"['C:cytoplasm', 'C:cytoskeleton', 'C:nucleus', 'F:benzodiazepine receptor binding', 'P:fertilization', 'P:spermatid development']"
8,A6NMT0,DBX1,https://www.antibodypedia.com/gene/42553/DBX1,2,125,0,2,3,3,4.17368229705002,"['C:chromatin', 'C:nucleus', 'F:DNA binding', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'P:cell differentiation in spinal cord', 'P:regulation of transcription by RNA polymerase II', 'P:ventral spinal cord interneuron specification']"
9,A6NNZ2,NA,https://www.antibodypedia.com/gene/71184/TUBB8B,0,0,0,1,0,1,1.0045564351010776,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
