PeakID (cmd=annotatePeaks.pl siBAZ2B_siControl_raw_MACS2_overlap.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_8847,chrY,59362872,59363517,+,1809,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,-2340,NR_110561,727856,,NR_110561,,DDX11L16,-,DEAD/H-box helicase 11 like 16 (pseudogene),pseudo
siBAZ2B_3_peak_8822,chrX,155259883,155260515,+,1723,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,-2351,NR_110561,727856,,NR_110561,,DDX11L16,-,DEAD/H-box helicase 11 like 16 (pseudogene),pseudo
siBAZ2B_3_peak_2161,chr12,133841406,133842032,+,1650,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,-29256,NM_001372060,647589,,NM_001191054,ENSG00000227059,ANHX,-,anomalous homeobox,protein-coding
siBAZ2B_3_peak_4607,chr2,739884,740980,+,1353,NA,Intergenic,Intergenic,-63026,NM_152834,129787,,NM_152834,ENSG00000151353,TMEM18,lncND,transmembrane protein 18,protein-coding
siBAZ2B_3_peak_374,chr1,121484144,121485450,+,1333,NA,Intergenic,ALR/Alpha|Satellite|centr,223887,NR_003955,647121,,NR_003955,ENSG00000291141,EMBP1,-,embigin pseudogene 1,pseudo
siBAZ2B_3_peak_6440,chr5,10004,11795,+,1154,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,-81384,NM_052909,153478,,NM_052909,ENSG00000153404,PLEKHG4B,ARHGEF48,pleckstrin homology and RhoGEF domain containing G4B,protein-coding
siBAZ2B_3_peak_791,chr1,249239918,249240525,+,1002,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,39779,NM_001017434,267002,,NM_170725,ENSG00000185220,PGBD2,-,piggyBac transposable element derived 2,protein-coding
siBAZ2B_3_peak_6438,chr4,191043750,191044402,+,977,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,58419,NR_121644,100419743,,NR_121644,ENSG00000281591,DBET,DBE-T|DUX4L30,D4Z4 binding element transcript,ncRNA
siBAZ2B_3_peak_2548,chr14,106641448,106641950,+,880,NA,Intergenic,Intergenic,-102570,NR_033375,338004,,NR_033375,,LINC00226,C14orf97|NCRNA00226,long intergenic non-protein coding RNA 226,ncRNA
siBAZ2B_3_peak_1,chr1,9868,10466,+,869,NA,Intergenic,(CCCTAA)n|Simple_repeat|Simple_repeat,-1702,NR_148357,102725121,,NR_148357,,DDX11L17,-,DEAD/H-box helicase 11 like 17 (pseudogene),pseudo
