,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Number of Ref-ed Antibodies,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
0,A0A087WUL8,NA,None,0,0,0,3095,0,0,-4,,['C:cytoplasm']
1,A0A5B6,NA,None,0,0,0,3095,0,0,2,,"['C:plasma membrane', 'C:T cell receptor complex', 'F:peptide antigen binding', 'P:adaptive immune response', 'P:cell surface receptor signaling pathway']"
2,A2RRP1,NBAS,None,0,24,0,1,10,0,-2,,"['C:cytosol', 'C:Dsl1/NZR complex', 'C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:membrane', 'F:SNARE binding', 'P:negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'P:nuclear-transcribed mRNA catabolic process', 'P:protein transport', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
3,A4UGR9,XIRP2,None,0,14,0,0,4,0,-4,,"['C:anchoring junction', 'C:Z disc', 'F:actin filament binding', 'F:alpha-actinin binding', 'P:actin filament organization', 'P:cardiac muscle tissue morphogenesis', 'P:cell-cell junction organization', 'P:regulation of actin filament organization', 'P:ventricular septum development']"
4,A5PKW4,PSD,None,0,16,0,74,2,0,2,,"['C:cleavage furrow', 'C:dendritic spine', 'C:postsynaptic density, intracellular component', 'C:ruffle membrane', 'F:guanyl-nucleotide exchange factor activity', 'F:phospholipid binding', 'P:neuron projection development', 'P:regulation of ARF protein signal transduction', 'P:signal transduction']"
5,A6NCQ9,RNF222,None,0,6,0,0,0,0,3,,"['C:membrane', 'F:metal ion binding']"
6,A6NIE6,NA,None,0,0,0,3095,0,2,-4,,"['C:nucleus', 'F:RNA polymerase I core binding', 'F:RNA polymerase I general transcription initiation factor activity', 'P:transcription initiation at RNA polymerase I promoter']"
7,A6NJZ7,RIMBP3C,None,0,0,0,0,0,0,2,,"['C:cytoplasm', 'C:cytoskeleton', 'C:nucleus', 'F:benzodiazepine receptor binding', 'P:fertilization', 'P:spermatid development']"
8,A6NMT0,DBX1,None,0,22,0,0,2,3,3,,"['C:chromatin', 'C:nucleus', 'F:DNA binding', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'P:cell differentiation in spinal cord', 'P:regulation of transcription by RNA polymerase II', 'P:ventral spinal cord interneuron specification']"
9,A6NNZ2,NA,None,0,4,0,3095,1,0,3,,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
10,A6NNZ2,NA,None,0,4,0,3095,1,0,5,,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
11,A8K0Z3,WASHC1,None,0,8,0,2,4,0,3,,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
12,A8K0Z3,WASHC1,None,0,8,0,2,4,0,5,,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
13,A8K0Z3,WASHC1,None,0,8,0,2,4,0,3,,"['C:autophagosome', 'C:centriole', 'C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:late endosome', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'F:phosphatidylinositol 3-kinase inhibitor activity', 'F:ubiquitin protein ligase binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:extracellular matrix disassembly', 'P:negative regulation of autophagy', 'P:positive regulation of cell migration', 'P:positive regulation of pseudopodium assembly', 'P:protein transport', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:regulation of protein ubiquitination', 'P:retrograde transport, endosome to Golgi']"
14,A8MTJ6,FOXI3,None,0,23,0,1,0,3,2,,"['C:nucleus', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:anatomical structure morphogenesis', 'P:cell differentiation', 'P:epidermal cell fate specification', 'P:hair follicle development', 'P:odontogenesis of dentin-containing tooth', 'P:otic placode development', 'P:parathyroid gland development', 'P:pharyngeal system development', 'P:regulation of transcription by RNA polymerase II', 'P:thymus development']"
15,A8MUU1,NA,None,0,0,0,3095,0,0,-4,,"['C:cytosol', 'C:nucleus', 'F:fatty acid binding', 'P:fatty acid transport']"
16,A8MWX3,NA,None,0,0,0,3095,1,0,-4,,"['C:cytosol', 'C:early endosome', 'C:early endosome membrane', 'C:recycling endosome', 'C:recycling endosome membrane', 'C:WASH complex', 'F:actin binding', 'F:alpha-tubulin binding', 'F:gamma-tubulin binding', 'P:Arp2/3 complex-mediated actin nucleation', 'P:endocytic recycling', 'P:endosomal transport', 'P:exocytosis', 'P:regulation of Arp2/3 complex-mediated actin nucleation', 'P:retrograde transport, endosome to Golgi']"
17,A8MXQ7,NA,None,0,0,0,3095,0,0,2,,[]
18,A8MZA4,GOLGA6L6,None,0,3,0,0,1,0,6,,[]
19,B2RPK0,NA,None,0,0,0,3095,0,2,5,,"['C:chromosome', 'C:nucleus', 'F:DNA binding, bending', 'P:regulation of transcription by RNA polymerase II']"
20,B2RXH8,HNRNPCL2,None,0,0,0,0,2,0,3,,"['C:nucleus', 'C:ribonucleoprotein complex', 'F:identical protein binding', 'F:RNA binding']"
21,B7ZW38,HNRNPCL4,None,0,0,0,0,1,0,-4,,"['C:nucleus', 'F:RNA binding']"
22,O00116,AGPS,None,0,29,0,9,3,0,3,,"['C:cytosol', 'C:membrane', 'C:mitochondrion', 'C:peroxisomal matrix', 'C:peroxisomal membrane', 'C:peroxisome', 'F:alkylglycerone-phosphate synthase activity', 'F:FAD binding', 'P:ether lipid biosynthetic process', 'P:lipid biosynthetic process']"
23,O00186,STXBP3,None,0,30,0,0,7,0,3,,"['C:apical plasma membrane', 'C:basolateral plasma membrane', 'C:cytosol', 'C:extracellular exosome', 'C:phagocytic vesicle', 'C:plasma membrane', 'C:platelet alpha granule', 'C:presynapse', 'C:secretory granule', 'C:specific granule', 'C:tertiary granule', 'F:protein-containing complex binding', 'F:syntaxin binding', 'F:syntaxin-1 binding', 'P:brain development', 'P:cellular response to type II interferon', 'P:insulin secretion', 'P:intracellular glucose homeostasis', 'P:intracellular protein transport', 'P:negative regulation of calcium ion-dependent exocytosis', 'P:negative regulation of glucose import', 'P:neurotransmitter secretion', 'P:neutrophil degranulation', 'P:platelet aggregation', 'P:protein to membrane docking', 'P:response to insulin', 'P:vesicle docking involved in exocytosis', 'P:vesicle-mediated transport']"
24,O00330,PDHX,None,0,34,0,1,0,0,3,,"['C:mitochondrial matrix', 'C:mitochondrion', 'C:pyruvate dehydrogenase complex', 'F:acyltransferase activity', 'P:acetyl-CoA biosynthetic process from pyruvate']"
25,O14522,PTPRT,None,0,32,0,7,5,0,3,,"['C:cell surface', 'C:glutamatergic synapse', 'C:membrane', 'C:plasma membrane', 'C:postsynaptic density membrane', 'F:alpha-actinin binding', 'F:alpha-catenin binding', 'F:beta-catenin binding', 'F:cadherin binding', 'F:delta-catenin binding', 'F:gamma-catenin binding', 'F:protein homodimerization activity', 'F:protein phosphatase binding', 'F:protein tyrosine phosphatase activity', 'F:STAT family protein binding', 'F:thiolester hydrolase activity', 'F:transmembrane receptor protein tyrosine phosphatase activity', 'P:cell adhesion', 'P:cell surface receptor protein tyrosine kinase signaling pathway', 'P:cellular response to interleukin-6', 'P:homophilic cell adhesion via plasma membrane adhesion molecules', 'P:negative regulation of cell migration', 'P:negative regulation of receptor signaling pathway via STAT', 'P:peptidyl-tyrosine dephosphorylation', 'P:peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity', 'P:protein dephosphorylation', 'P:regulation of synapse organization', 'P:signal transduction']"
26,O14647,CHD2,None,0,34,0,12,2,3,3,,"['C:chromatin', 'C:nucleus', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:ATP-dependent chromatin remodeler activity', 'F:chromatin binding', 'F:DNA binding', 'F:helicase activity', 'F:histone binding', 'F:RNA binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:DNA damage response', 'P:gene expression', 'P:hematopoietic stem cell differentiation', 'P:muscle organ development', 'P:nucleosome organization']"
27,O14772,FPGT,None,0,20,0,0,0,0,3,,"['C:cytoplasm', 'C:cytosol', 'F:catalytic activity', 'F:fucose-1-phosphate guanylyltransferase activity', 'F:GTP binding', 'P:fucose metabolic process']"
28,O14787,TNPO2,None,0,19,0,0,5,0,3,,"['C:cytoplasm', 'C:nucleus', 'F:nuclear import signal receptor activity', 'F:nuclear localization sequence binding', 'F:small GTPase binding', 'P:protein import into nucleus']"
29,O14893,GEMIN2,None,0,39,0,1,8,-3,3,,"['C:cytosol', 'C:Gemini of coiled bodies', 'C:nuclear body', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:SMN complex', 'C:SMN-Sm protein complex', 'C:spliceosomal complex', 'P:mRNA processing', 'P:negative regulation of RNA binding', 'P:RNA splicing', 'P:RNA splicing, via transesterification reactions', 'P:spliceosomal complex assembly', 'P:spliceosomal snRNP assembly']"
30,O15061,SYNM,None,0,19,0,0,3,0,3,,"['C:adherens junction', 'C:costamere', 'C:intermediate filament', 'C:intermediate filament cytoskeleton', 'C:neurofilament cytoskeleton', 'C:sarcolemma', 'F:intermediate filament binding', 'F:structural constituent of cytoskeleton', 'F:structural constituent of muscle', 'F:vinculin binding', 'P:fast-twitch skeletal muscle fiber contraction', 'P:intermediate filament cytoskeleton organization']"
31,O15143,ARPC1B,None,0,31,0,2,8,0,5,,"['C:actin cytoskeleton', 'C:Arp2/3 protein complex', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:nucleus', 'C:tubulobulbar complex', 'F:actin binding', 'F:protein-containing complex binding', 'F:structural constituent of cytoskeleton', 'P:Arp2/3 complex-mediated actin nucleation', 'P:response to estradiol', 'P:response to estrogen']"
32,O15162,PLSCR1,None,0,33,0,5,4,3,-4,,"['C:collagen-containing extracellular matrix', 'C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:Golgi apparatus', 'C:membrane', 'C:membrane raft', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'F:calcium ion binding', 'F:CD4 receptor binding', 'F:DNA binding', 'F:DNA-binding transcription activator activity, RNA polymerase II-specific', 'F:enzyme binding', 'F:epidermal growth factor receptor binding', 'F:lead ion binding', 'F:magnesium ion binding', 'F:mercury ion binding', 'F:nuclease activity', 'F:phospholipid scramblase activity', 'F:SH3 domain binding', 'F:virus receptor activity', 'F:zinc ion binding', 'P:acute-phase response', 'P:apoptotic process', 'P:defense response to virus', 'P:negative regulation of phagocytosis', 'P:negative regulation of viral genome replication', 'P:phosphatidylserine biosynthetic process', 'P:phosphatidylserine exposure on apoptotic cell surface', 'P:plasma membrane phospholipid scrambling', 'P:platelet activation', 'P:positive regulation of chromosome separation', 'P:positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity', 'P:positive regulation of gene expression', 'P:positive regulation of innate immune response', 'P:positive regulation of transcription by RNA polymerase II', 'P:regulation of Fc receptor mediated stimulatory signaling pathway', 'P:regulation of mast cell activation', 'P:response to interferon-beta', 'P:response to lead ion']"
33,O15213,WDR46,None,0,19,0,1,10,0,3,,"['C:nucleolus', 'C:nucleoplasm', 'C:small-subunit processome', 'F:RNA binding', 'P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'P:ribosomal small subunit biogenesis']"
34,O15269,SPTLC1,None,0,36,0,2,2,0,3,,"['C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:serine C-palmitoyltransferase complex', 'C:SPOTS complex', 'F:pyridoxal phosphate binding', 'F:serine C-palmitoyltransferase activity', 'P:ceramide biosynthetic process', 'P:positive regulation of lipophagy', 'P:regulation of fat cell apoptotic process', 'P:sphinganine biosynthetic process', 'P:sphingolipid biosynthetic process', 'P:sphingolipid metabolic process', 'P:sphingomyelin biosynthetic process', 'P:sphingosine biosynthetic process']"
35,O15296,ALOX15B,None,0,30,0,1,2,0,2,,"['C:adherens junction', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:membrane', 'C:nucleus', 'C:plasma membrane', 'F:arachidonate 15-lipoxygenase activity', 'F:arachidonate 8(S)-lipoxygenase activity', 'F:calcium ion binding', 'F:iron ion binding', 'F:linoleate 13S-lipoxygenase activity', 'F:linoleate 9S-lipoxygenase activity', 'F:lipid binding', 'P:apoptotic process', 'P:arachidonic acid metabolic process', 'P:cannabinoid biosynthetic process', 'P:endocannabinoid signaling pathway', 'P:hepoxilin biosynthetic process', 'P:linoleic acid metabolic process', 'P:lipid metabolic process', 'P:lipid oxidation', 'P:lipoxin A4 biosynthetic process', 'P:lipoxygenase pathway', 'P:negative regulation of cell cycle', 'P:negative regulation of cell migration', 'P:negative regulation of cell population proliferation', 'P:negative regulation of growth', 'P:phospholipid metabolic process', 'P:positive regulation of chemokine production', 'P:positive regulation of keratinocyte differentiation', 'P:positive regulation of macrophage derived foam cell differentiation', 'P:positive regulation of peroxisome proliferator activated receptor signaling pathway', 'P:prostate gland development', 'P:regulation of epithelial cell differentiation']"
36,O15344,MID1,None,0,26,0,2,1,0,3,,"['C:centriolar satellite', 'C:cytoplasm', 'C:cytosol', 'C:Golgi apparatus', 'C:microtubule', 'C:microtubule associated complex', 'C:spindle', 'F:enzyme binding', 'F:identical protein binding', 'F:microtubule binding', 'F:phosphoprotein binding', 'F:protein homodimerization activity', 'F:transferase activity', 'F:ubiquitin protein ligase binding', 'F:zinc ion binding', 'P:microtubule cytoskeleton organization', 'P:negative regulation of microtubule depolymerization', 'P:pattern specification process', 'P:positive regulation of stress-activated MAPK cascade', 'P:protein localization to microtubule', 'P:regulation of microtubule cytoskeleton organization']"
37,O15357,INPPL1,None,0,32,0,2,5,0,3,,"['C:basal plasma membrane', 'C:cytosol', 'C:filopodium', 'C:Golgi apparatus', 'C:lamellipodium', 'C:nuclear speck', 'C:nucleus', 'C:spindle pole', 'F:actin binding', 'F:inositol-polyphosphate 5-phosphatase activity', 'F:phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity', 'F:SH2 domain binding', 'F:SH3 domain binding', 'P:actin filament organization', 'P:apoptotic process', 'P:cell adhesion', 'P:endochondral ossification', 'P:endocytosis', 'P:ERK1 and ERK2 cascade', 'P:establishment of mitotic spindle orientation', 'P:gene expression', 'P:glucose metabolic process', 'P:immune system process', 'P:negative regulation of cell population proliferation', 'P:negative regulation of gene expression', 'P:negative regulation of insulin-like growth factor receptor signaling pathway', 'P:phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:phosphatidylinositol biosynthetic process', 'P:phosphatidylinositol dephosphorylation', 'P:post-embryonic development', 'P:regulation of actin filament organization', 'P:regulation of immune response', 'P:regulation of protein localization', 'P:response to insulin', 'P:ruffle assembly']"
38,O43264,ZW10,None,0,26,0,6,8,1,3,,"['C:cytosol', 'C:Dsl1/NZR complex', 'C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:kinetochore', 'C:kinetochore microtubule', 'C:lipid droplet', 'C:membrane', 'C:nucleus', 'C:RZZ complex', 'C:spindle pole', 'F:centromeric DNA binding', 'P:cell division', 'P:endoplasmic reticulum to Golgi vesicle-mediated transport', 'P:establishment of mitotic spindle orientation', 'P:Golgi organization', 'P:meiotic cell cycle', 'P:mitotic metaphase chromosome alignment', 'P:mitotic sister chromatid segregation', 'P:mitotic spindle assembly checkpoint signaling', 'P:protein localization to kinetochore', 'P:protein transport', 'P:protein-containing complex assembly', 'P:regulation of attachment of spindle microtubules to kinetochore', 'P:regulation of exit from mitosis', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
39,O43283,MAP3K13,None,0,27,0,1,1,1,-1,,"['C:cytoplasm', 'C:membrane', 'F:ATP binding', 'F:enzyme binding', 'F:identical protein binding', 'F:IkappaB kinase complex binding', 'F:JUN kinase kinase kinase activity', 'F:MAP kinase kinase kinase activity', 'F:metal ion binding', 'F:protein homodimerization activity', 'F:protein kinase binding', 'F:protein serine kinase activity', 'F:protein serine/threonine kinase activator activity', 'F:protein serine/threonine kinase activity', 'P:JNK cascade', 'P:peptidyl-serine phosphorylation', 'P:positive regulation of axon extension', 'P:positive regulation of branching morphogenesis of a nerve', 'P:positive regulation of JUN kinase activity', 'P:positive regulation of neuron maturation', 'P:positive regulation of neuron projection arborization', 'P:positive regulation of NF-kappaB transcription factor activity', 'P:protein autophosphorylation', 'P:protein phosphorylation', 'P:stress-activated MAPK cascade']"
40,O43491,EPB41L2,None,0,34,0,0,2,-1,-1,,"['C:cell cortex', 'C:cell junction', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:focal adhesion', 'C:nucleoplasm', 'C:plasma membrane', 'C:spectrin', 'F:actin binding', 'F:PH domain binding', 'F:spectrin binding', 'F:structural molecule activity', 'P:actomyosin structure organization', 'P:cell division', 'P:cortical actin cytoskeleton organization', 'P:positive regulation of protein localization to cell cortex']"
41,O43663,PRC1,None,0,35,0,40,21,0,3,,"['C:chromosome', 'C:contractile ring', 'C:cytoplasm', 'C:cytosol', 'C:intercellular bridge', 'C:microtubule cytoskeleton', 'C:midbody', 'C:mitotic spindle midzone', 'C:nucleoplasm', 'C:nucleus', 'C:plasma membrane', 'C:spindle', 'C:spindle microtubule', 'C:spindle pole', 'F:identical protein binding', 'F:kinesin binding', 'F:microtubule binding', 'F:protein kinase binding', 'P:cell division', 'P:microtubule cytoskeleton organization', 'P:mitotic spindle elongation', 'P:mitotic spindle midzone assembly', 'P:positive regulation of cell population proliferation', 'P:regulation of cytokinesis']"
42,O43707,ACTN4,None,0,43,0,12,22,4,-4,,"['C:actin cytoskeleton', 'C:cell junction', 'C:cell projection', 'C:cortical actin cytoskeleton', 'C:cytoplasm', 'C:extracellular exosome', 'C:extracellular region', 'C:extracellular space', 'C:focal adhesion', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:plasma membrane', 'C:platelet alpha granule lumen', 'C:postsynaptic actin cytoskeleton', 'C:protein-containing complex', 'C:pseudopodium', 'C:ribonucleoprotein complex', 'C:stress fiber', 'C:Z disc', 'F:actin binding', 'F:actin filament binding', 'F:calcium ion binding', 'F:chromatin DNA binding', 'F:integrin binding', 'F:nuclear receptor binding', 'F:nuclear receptor coactivator activity', 'F:nuclear retinoic acid receptor binding', 'F:nucleoside binding', 'F:protein homodimerization activity', 'F:RNA binding', 'F:RNA polymerase II transcription regulatory region sequence-specific DNA binding', 'F:transcription coactivator activity', 'F:transmembrane transporter binding', 'P:actin cytoskeleton organization', 'P:muscle cell development', 'P:negative regulation of substrate adhesion-dependent cell spreading', 'P:peroxisome proliferator activated receptor signaling pathway', 'P:positive regulation of cell migration', 'P:positive regulation of non-canonical NF-kappaB signal transduction', 'P:positive regulation of sodium:proton antiporter activity', 'P:positive regulation of transcription by RNA polymerase II', 'P:protein transport', 'P:regulation of apoptotic process', 'P:retinoic acid receptor signaling pathway', 'P:tumor necrosis factor-mediated signaling pathway', 'P:vesicle transport along actin filament']"
