,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
0,A0A087WUL8,NA,https://www.antibodypedia.com/gene/82366/NBPF19,0,0,0,0,0,-1,-1.270558317318121,['C:cytoplasm']
1,A0A5B6,NA,None,0,0,0,0,0,1,1.270558317318121,"['C:plasma membrane', 'C:T cell receptor complex', 'F:peptide antigen binding', 'P:adaptive immune response', 'P:cell surface receptor signaling pathway']"
2,A2RRP1,NBAS,https://www.antibodypedia.com/gene/26924/NBAS,84,24,370,10,0,0,1.4098891776254099,"['C:cytosol', 'C:Dsl1/NZR complex', 'C:endoplasmic reticulum', 'C:endoplasmic reticulum membrane', 'C:membrane', 'F:SNARE binding', 'P:negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'P:nuclear-transcribed mRNA catabolic process', 'P:protein transport', 'P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum']"
3,A4UGR9,XIRP2,https://www.antibodypedia.com/gene/33785/XIRP2,50,14,62,4,0,-1,-0.6102772051375068,"['C:anchoring junction', 'C:Z disc', 'F:actin filament binding', 'F:alpha-actinin binding', 'P:actin filament organization', 'P:cardiac muscle tissue morphogenesis', 'P:cell-cell junction organization', 'P:regulation of actin filament organization', 'P:ventricular septum development']"
4,A5PKW4,PSD,https://www.antibodypedia.com/gene/31428/PSD,50,16,10805,2,0,1,-7.127544716089606,"['C:cleavage furrow', 'C:dendritic spine', 'C:postsynaptic density, intracellular component', 'C:ruffle membrane', 'F:guanyl-nucleotide exchange factor activity', 'F:phospholipid binding', 'P:neuron projection development', 'P:regulation of ARF protein signal transduction', 'P:signal transduction']"
5,A6NCQ9,RNF222,https://www.antibodypedia.com/gene/62437/RNF222,6,6,0,0,0,1,1.2801929261285891,"['C:membrane', 'F:metal ion binding']"
6,A6NIE6,NA,None,0,0,0,0,2,-1,-0.42328679389353696,"['C:nucleus', 'F:RNA polymerase I core binding', 'F:RNA polymerase I general transcription initiation factor activity', 'P:transcription initiation at RNA polymerase I promoter']"
7,A6NJZ7,RIMBP3C,https://www.antibodypedia.com/gene/21503/RIMBP3C,0,0,1,0,0,1,1.269744470298177,"['C:cytoplasm', 'C:cytoskeleton', 'C:nucleus', 'F:benzodiazepine receptor binding', 'P:fertilization', 'P:spermatid development']"
8,A6NMT0,DBX1,https://www.antibodypedia.com/gene/42553/DBX1,105,22,125,2,3,1,2.923565989476824,"['C:chromatin', 'C:nucleus', 'F:DNA binding', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'P:cell differentiation in spinal cord', 'P:regulation of transcription by RNA polymerase II', 'P:ventral spinal cord interneuron specification']"
9,A6NNZ2,NA,https://www.antibodypedia.com/gene/71184/TUBB8B,15,4,0,1,0,1,1.4522576445100992,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
10,A6NNZ2,NA,https://www.antibodypedia.com/gene/71184/TUBB8B,15,4,0,1,0,2,2.72281596182822,"['C:cytoplasm', 'C:extracellular exosome', 'C:intercellular bridge', 'C:microtubule', 'C:microtubule cytoskeleton', 'C:mitotic spindle', 'F:GTP binding', 'F:GTPase activity', 'F:metal ion binding', 'F:structural constituent of cytoskeleton', 'P:microtubule cytoskeleton organization', 'P:mitotic cell cycle']"
