,Uniprot,Protein Symbol,Antibodypedia Link,Ref-ed Antibodies via Antibodypedia,Total Article Count,Term Article Count,'String' Interactions,GO Score,UV Score,Overall Score,GO Terms
122,P18887,XRCC1,https://www.antibodypedia.com/gene/1863/XRCC1,24,2546,1516,8,7,2,24.643051595133542,"['C:chromatin', 'C:chromosome, telomeric region', 'C:ERCC4-ERCC1 complex', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:site of DNA damage', ""F:3' overhang single-stranded DNA endodeoxyribonuclease activity"", 'F:ADP-D-ribose modification-dependent protein binding', 'F:enzyme binding', 'F:oxidized DNA binding', 'F:poly-ADP-D-ribose binding', 'P:base-excision repair', 'P:cerebellum morphogenesis', 'P:double-strand break repair via nonhomologous end joining', 'P:hippocampus development', 'P:negative regulation of protection from non-homologous end joining at telomere', 'P:negative regulation of protein ADP-ribosylation', 'P:positive regulation of DNA ligase activity', 'P:positive regulation of single strand break repair', 'P:replication-born double-strand break repair via sister chromatid exchange', 'P:response to hydroperoxide', 'P:response to hypoxia', 'P:response to organic substance', 'P:response to xenobiotic stimulus', 'P:single strand break repair', 'P:telomeric DNA-containing double minutes formation', 'P:voluntary musculoskeletal movement']"
135,P23229,ITGA6,https://www.antibodypedia.com/gene/1485/ITGA6,132,442,9,13,1,3,15.34959843875871,"['C:adherens junction', 'C:cell surface', 'C:external side of plasma membrane', 'C:filopodium', 'C:focal adhesion', 'C:integrin alpha6-beta1 complex', 'C:integrin alpha6-beta4 complex', 'C:integrin complex', 'C:plasma membrane', 'F:cadherin binding', 'F:insulin-like growth factor I binding', 'F:integrin binding', 'F:laminin binding', 'F:metal ion binding', 'F:neuregulin binding', 'P:cell adhesion mediated by integrin', 'P:cell-cell adhesion', 'P:cell-matrix adhesion', 'P:cell-substrate adhesion', 'P:cell-substrate junction assembly', 'P:cellular response to organic cyclic compound', 'P:ectodermal cell differentiation', 'P:integrin-mediated signaling pathway', 'P:leukocyte migration', 'P:nail development', 'P:negative regulation of extrinsic apoptotic signaling pathway', 'P:positive regulation of apoptotic process', 'P:positive regulation of cell migration', 'P:positive regulation of cell-substrate adhesion', 'P:positive regulation of GTPase activity', 'P:positive regulation of neuron projection development', 'P:positive regulation of phosphorylation', 'P:positive regulation of transcription by RNA polymerase II', 'P:skin morphogenesis']"
186,P62736,ACTA2,https://www.antibodypedia.com/gene/30207/ACTA2,110,3117,28,21,-1,3,14.22941828910212,"['C:basement membrane', 'C:cell body', 'C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:extracellular space', 'C:filopodium', 'C:lamellipodium', 'C:motile cilium', 'C:protein-containing complex', 'C:smooth muscle contractile fiber', 'C:stress fiber', 'F:ATP binding', 'F:hydrolase activity', 'F:protein kinase binding', 'P:cellular response to transforming growth factor beta stimulus', 'P:glomerular mesangial cell development', 'P:juxtaglomerular apparatus development', 'P:mesenchyme migration', 'P:positive regulation of ERK1 and ERK2 cascade', 'P:positive regulation of gene expression', 'P:positive regulation of hepatic stellate cell activation', 'P:positive regulation of hepatic stellate cell contraction', 'P:positive regulation of hepatic stellate cell migration', 'P:regulation of blood pressure', 'P:response to virus', 'P:vascular associated smooth muscle contraction']"
191,P63261,ACTG1,https://www.antibodypedia.com/gene/32827/ACTG1,19,213,3,36,1,3,12.656183680206146,"['C:actin filament', 'C:apical junction complex', 'C:axon', 'C:basal body patch', 'C:blood microparticle', 'C:calyx of Held', 'C:cell-cell junction', 'C:cytoplasm', 'C:cytoskeleton', 'C:cytosol', 'C:dense body', 'C:extracellular exosome', 'C:extracellular space', 'C:filamentous actin', 'C:focal adhesion', 'C:membrane', 'C:myofibril', 'C:NuA4 histone acetyltransferase complex', 'C:nucleus', 'C:phagocytic vesicle', 'C:plasma membrane', 'C:Schaffer collateral - CA1 synapse', 'C:synapse', 'F:ATP binding', 'F:hydrolase activity', 'F:identical protein binding', 'F:profilin binding', 'F:protein kinase binding', 'F:structural constituent of cytoskeleton', 'F:structural constituent of postsynaptic actin cytoskeleton', 'F:ubiquitin protein ligase binding', 'P:angiogenesis', 'P:axonogenesis', 'P:cell motility', 'P:cellular response to type II interferon', 'P:maintenance of blood-brain barrier', 'P:morphogenesis of a polarized epithelium', 'P:platelet aggregation', 'P:positive regulation of cell migration', 'P:positive regulation of gene expression', 'P:positive regulation of wound healing', 'P:protein localization to bicellular tight junction', 'P:regulation of focal adhesion assembly', 'P:regulation of stress fiber assembly', 'P:regulation of synaptic vesicle endocytosis', 'P:regulation of transepithelial transport', 'P:sarcomere organization', 'P:tight junction assembly']"
194,P68133,ACTA1,https://www.antibodypedia.com/gene/3508/ACTA1,28,409,3,36,-2,3,12.374144108219893,"['C:actin cytoskeleton', 'C:actin filament', 'C:blood microparticle', 'C:cell body', 'C:cytosol', 'C:extracellular exosome', 'C:extracellular space', 'C:filopodium', 'C:lamellipodium', 'C:sarcomere', 'C:stress fiber', 'C:striated muscle thin filament', 'F:ADP binding', 'F:ATP binding', 'F:hydrolase activity', 'F:myosin binding', 'F:structural constituent of cytoskeleton', 'P:cellular response to organonitrogen compound', 'P:mesenchyme migration', 'P:muscle contraction', 'P:positive regulation of gene expression', 'P:response to extracellular stimulus', 'P:response to mechanical stimulus', 'P:response to steroid hormone', 'P:skeletal muscle fiber adaptation', 'P:skeletal muscle fiber development', 'P:skeletal muscle thin filament assembly']"
387,Q92769,HDAC2,https://www.antibodypedia.com/gene/1842/HDAC2,36,2546,57,22,14,1,12.275469048837005,"['C:chromatin', 'C:chromosome, telomeric region', 'C:cytoplasm', 'C:ESC/E(Z) complex', 'C:histone deacetylase complex', 'C:nucleoplasm', 'C:nucleus', 'C:NuRD complex', 'C:protein-containing complex', 'C:Sin3-type complex', 'F:chromatin binding', 'F:enzyme binding', 'F:heat shock protein binding', 'F:histone binding', 'F:histone deacetylase activity', 'F:histone deacetylase binding', 'F:histone decrotonylase activity', 'F:NF-kappaB binding', 'F:promoter-specific chromatin binding', 'F:protein de-2-hydroxyisobutyrylase activity', 'F:protein lysine deacetylase activity', 'F:RNA binding', 'F:RNA polymerase II-specific DNA-binding transcription factor binding', 'P:behavioral response to ethanol', 'P:cardiac muscle hypertrophy', 'P:cellular response to dopamine', 'P:cellular response to heat', 'P:cellular response to hydrogen peroxide', 'P:cellular response to retinoic acid', 'P:cellular response to transforming growth factor beta stimulus', 'P:chromatin remodeling', 'P:circadian regulation of gene expression', 'P:dendrite development', 'P:embryonic digit morphogenesis', 'P:epidermal cell differentiation', 'P:eyelid development in camera-type eye', 'P:fungiform papilla formation', 'P:hair follicle placode formation', 'P:heterochromatin formation', 'P:negative regulation of apoptotic process', 'P:negative regulation of cell migration', 'P:negative regulation of dendritic spine development', 'P:negative regulation of DNA-binding transcription factor activity', 'P:negative regulation of DNA-templated transcription', 'P:negative regulation of MHC class II biosynthetic process', 'P:negative regulation of neuron projection development', 'P:negative regulation of peptidyl-lysine acetylation', 'P:negative regulation of stem cell population maintenance', 'P:negative regulation of transcription by competitive promoter binding', 'P:negative regulation of transcription by RNA polymerase II', 'P:negative regulation of transforming growth factor beta receptor signaling pathway', 'P:odontogenesis of dentin-containing tooth', 'P:positive regulation of cell population proliferation', 'P:positive regulation of collagen biosynthetic process', 'P:positive regulation of DNA-templated transcription', 'P:positive regulation of epithelial to mesenchymal transition', 'P:positive regulation of interleukin-1 production', 'P:positive regulation of male mating behavior', 'P:positive regulation of oligodendrocyte differentiation', 'P:positive regulation of proteolysis', 'P:positive regulation of signaling receptor activity', 'P:positive regulation of stem cell population maintenance', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of tumor necrosis factor production', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:protein modification process', 'P:regulation of cell fate specification', 'P:regulation of stem cell differentiation', 'P:response to amphetamine', 'P:response to amyloid-beta', 'P:response to caffeine', 'P:response to cocaine', 'P:response to hyperoxia', 'P:response to lipopolysaccharide', 'P:response to nicotine', 'P:response to xenobiotic stimulus']"
125,P19438,TNFRSF1A,https://www.antibodypedia.com/gene/1320/TNFRSF1A,92,1433,16,10,3,3,12.004748626572209,"['C:cell surface', 'C:extracellular region', 'C:extracellular space', 'C:Golgi membrane', 'C:membrane', 'C:membrane raft', 'C:plasma membrane', 'C:receptor complex', 'C:tumor necrosis factor receptor superfamily complex', 'F:tumor necrosis factor binding', 'F:tumor necrosis factor receptor activity', 'P:aortic valve development', 'P:cellular response to mechanical stimulus', 'P:cytokine-mediated signaling pathway', 'P:defense response to bacterium', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:inflammatory response', 'P:intrinsic apoptotic signaling pathway in response to DNA damage', 'P:negative regulation of cardiac muscle hypertrophy', 'P:negative regulation of extracellular matrix constituent secretion', 'P:negative regulation of inflammatory response', 'P:positive regulation of amide metabolic process', 'P:positive regulation of apoptotic process involved in morphogenesis', 'P:positive regulation of canonical NF-kappaB signal transduction', 'P:positive regulation of execution phase of apoptosis', 'P:positive regulation of inflammatory response', 'P:positive regulation of lipid metabolic process', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:prostaglandin metabolic process', 'P:protein localization to plasma membrane', 'P:pulmonary valve development', 'P:regulation of establishment of endothelial barrier', 'P:regulation of membrane lipid metabolic process', 'P:regulation of tumor necrosis factor-mediated signaling pathway', 'P:transcription by RNA polymerase II', 'P:tumor necrosis factor-mediated signaling pathway']"
204,Q03468,ERCC6,https://www.antibodypedia.com/gene/34972/ERCC6,6,504,279,12,22,-1,11.844774143915483,"['C:B-WICH complex', 'C:nucleolus', 'C:nucleoplasm', 'C:nucleus', 'C:site of DNA damage', 'C:transcription elongation factor complex', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:ATP-dependent activity, acting on DNA', 'F:ATP-dependent chromatin remodeler activity', 'F:chromatin binding', 'F:DNA binding', 'F:helicase activity', 'F:protein tyrosine kinase activator activity', 'F:RNA polymerase binding', 'P:base-excision repair', 'P:chromatin remodeling', 'P:DNA damage checkpoint signaling', 'P:DNA protection', 'P:DNA repair', 'P:double-strand break repair via classical nonhomologous end joining', 'P:intrinsic apoptotic signaling pathway in response to DNA damage', 'P:JNK cascade', 'P:multicellular organism growth', 'P:negative regulation of double-strand break repair via nonhomologous end joining', 'P:neurogenesis', 'P:neuron differentiation', 'P:neuron projection development', 'P:photoreceptor cell maintenance', 'P:positive regulation of DNA repair', 'P:positive regulation of DNA-templated transcription, elongation', 'P:positive regulation of double-strand break repair via homologous recombination', 'P:positive regulation of transcription by RNA polymerase I', 'P:positive regulation of transcription by RNA polymerase II', 'P:positive regulation of transcription by RNA polymerase III', 'P:positive regulation of transcription initiation by RNA polymerase II', 'P:pyrimidine dimer repair', 'P:regulation of DNA-templated transcription elongation', 'P:regulation of transcription elongation by RNA polymerase II', 'P:response to gamma radiation', 'P:response to oxidative stress', 'P:response to superoxide', 'P:response to toxic substance', 'P:response to UV-B', 'P:response to X-ray', 'P:single strand break repair', 'P:transcription by RNA polymerase II', 'P:transcription elongation by RNA polymerase I', 'P:transcription-coupled nucleotide-excision repair']"
164,P49023,PXN,https://www.antibodypedia.com/gene/3546/PXN,65,1137,28,26,-1,1,11.276133944821122,"['C:cell cortex', 'C:cell-cell junction', 'C:cytosol', 'C:focal adhesion', 'C:lamellipodium', 'C:microtubule associated complex', 'C:plasma membrane', 'C:stress fiber', 'F:beta-catenin binding', 'F:metal ion binding', 'F:neuropilin binding', 'F:protein phosphatase binding', 'F:vinculin binding', 'P:cell adhesion', 'P:cell migration', 'P:cellular response to reactive oxygen species', 'P:endothelial cell migration', 'P:growth hormone receptor signaling pathway', 'P:positive regulation of stress fiber assembly', 'P:signal complex assembly', 'P:signal transduction', 'P:substrate adhesion-dependent cell spreading', 'P:transforming growth factor beta receptor signaling pathway']"
141,P28340,POLD1,https://www.antibodypedia.com/gene/3821/POLD1,7,354,75,12,10,5,11.180567377685703,"['C:aggresome', 'C:cytosol', 'C:delta DNA polymerase complex', 'C:membrane', 'C:nucleoplasm', 'C:nucleotide-excision repair complex', 'C:nucleus', ""F:3'-5'-DNA exonuclease activity"", 'F:4 iron, 4 sulfur cluster binding', 'F:chromatin binding', 'F:damaged DNA binding', 'F:DNA binding', 'F:DNA-directed DNA polymerase activity', 'F:enzyme binding', 'F:metal ion binding', 'F:nucleotide binding', 'P:base-excision repair, gap-filling', 'P:cellular response to UV', 'P:DNA biosynthetic process', 'P:DNA repair', 'P:DNA replication', 'P:DNA replication proofreading', 'P:DNA synthesis involved in DNA repair', 'P:DNA-templated DNA replication', 'P:error-free translesion synthesis', 'P:fatty acid homeostasis', 'P:nucleotide-excision repair, DNA gap filling', 'P:response to UV']"
