PeakID (cmd=annotatePeaks.pl siBAZ2B_raw_MACS2_Unique_Ctrl.narrowPeak hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_1775,chr12,27090922,27091354,+,206,NA,promoter-TSS (NM_001171887),promoter-TSS (NM_001171887),-167,NM_001171888,26127,,NM_015633,ENSG00000111790,FGFR1OP2,HSPC123-like|WIT3.0,FGFR1 oncogene partner 2,protein-coding
siBAZ2B_3_peak_8652,chrX,47092760,47093211,+,194,NA,"intron (NM_001371072, intron 1 of 20)",CpG,577,NM_001371072,8237,,NM_004651,ENSG00000102226,USP11,UHX1,ubiquitin specific peptidase 11,protein-coding
siBAZ2B_3_peak_771,chr1,244614923,244615612,+,187,NA,promoter-TSS (NM_001126),promoter-TSS (NM_001126),-56,NM_001126,159,,NM_001126,ENSG00000035687,ADSS2,ADEH|ADSS|ADSS 2,adenylosuccinate synthase 2,protein-coding
siBAZ2B_3_peak_7434,chr7,61970226,61970585,+,176,NA,Intergenic,ALR/Alpha|Satellite|centr,794029,NR_003952,643955,,NR_003952,ENSG00000290558,ZNF733P,ZNF733,"zinc finger protein 733, pseudogene",pseudo
siBAZ2B_3_peak_2137,chr12,127650406,127651027,+,175,NA,Intergenic,LSU-rRNA_Hsa|rRNA|rRNA,-105774,NR_104646,101927592,,NR_104646,ENSG00000249345,LINC02405,-,long intergenic non-protein coding RNA 2405,ncRNA
siBAZ2B_3_peak_1581,chr11,82996833,82997580,+,174,NA,"exon (NM_001286116, exon 1 of 9)","exon (NM_001286116, exon 1 of 9)",244,NM_001286119,60492,,NM_021825,ENSG00000137500,CCDC90B,MDS011|MDS025,coiled-coil domain containing 90B,protein-coding
siBAZ2B_3_peak_4758,chr2,42588095,42588936,+,169,NA,promoter-TSS (NM_001319040),promoter-TSS (NM_001319040),-132,NR_134947,9167,,NM_004718,ENSG00000115944,COX7A2L,COX7AR|COX7RP|EB1|SCAF1|SCAFI|SIG81,cytochrome c oxidase subunit 7A2 like,protein-coding
siBAZ2B_3_peak_8694,chrX,55026377,55026747,+,164,NA,promoter-TSS (NM_001271748),promoter-TSS (NM_001271748),-234,NM_001271748,27301,,NM_014481,ENSG00000169188,APEX2,APE2|APEXL2|XTH2|ZGRF2,apurinic/apyrimidinic endodeoxyribonuclease 2,protein-coding
siBAZ2B_3_peak_7928,chr8,86132472,86133061,+,160,NA,promoter-TSS (NR_120681),promoter-TSS (NR_120681),-115,NM_001293320,401466,,NM_001099670,ENSG00000176731,RBIS,C8orf59,ribosomal biogenesis factor,protein-coding
siBAZ2B_3_peak_5975,chr3,99979631,99980083,+,159,NA,promoter-TSS (NM_001199198),promoter-TSS (NM_001199198),21,NM_001199198,55773,,NM_018309,ENSG00000036054,TBC1D23,NS4ATP1|PCH11,TBC1 domain family member 23,protein-coding
siBAZ2B_3_peak_2889,chr16,188455,188941,+,159,NA,promoter-TSS (NM_001077350),promoter-TSS (NM_001077350),-1,NM_001243247,8131,,NM_012075,ENSG00000103148,NPRL3,C16orf35|CGTHBA|FFEVF3|HS-40|MARE|NPR3|RMD11,"NPR3 like, GATOR1 complex subunit",protein-coding
siBAZ2B_3_peak_1936,chr12,64173617,64174019,+,159,NA,promoter-TSS (NM_001278237),promoter-TSS (NM_001278237),-88,NM_001278237,10329,,NM_014254,ENSG00000118600,RXYLT1,HP10481|MDDGA10|TMEM5,ribitol xylosyltransferase 1,protein-coding
siBAZ2B_3_peak_441,chr1,153581379,153581897,+,158,NA,"5' UTR (NM_001317007, exon 1 of 3)","5' UTR (NM_001317007, exon 1 of 3)",193,NM_001317007,140576,,NM_080388,ENSG00000188643,S100A16,AAG13|DT1P1A7|S100F,S100 calcium binding protein A16,protein-coding
siBAZ2B_3_peak_2270,chr14,19649803,19650326,+,158,NA,promoter-TSS (NR_110526),promoter-TSS (NR_110526),27,NR_122112,503638,,NR_122111,,DUXAP9,LINC01296|LNMAT1|SAN,double homeobox A pseudogene 9,pseudo
siBAZ2B_3_peak_369,chr1,119682916,119683350,+,156,NA,"non-coding (NR_125977, exon 1 of 4)","non-coding (NR_125977, exon 1 of 4)",114,NR_125976,101929147,,NR_125974,ENSG00000231365,WARS2-AS1,-,WARS2 antisense RNA 1,ncRNA
siBAZ2B_3_peak_5004,chr2,114361434,114361809,+,153,NA,promoter-TSS (NR_024004),promoter-TSS (NR_024004),-327,NR_024004,84771,,NM_032685,,DDX11L2,-,DEAD/H-box helicase 11 like 2 (pseudogene),pseudo
siBAZ2B_3_peak_3344,chr17,7142650,7143152,+,150,NA,promoter-TSS (NM_001284518),promoter-TSS (NM_001284518),-125,NM_001284517,79142,,NM_024297,ENSG00000040633,PHF23,hJUNE-1b,PHD finger protein 23,protein-coding
siBAZ2B_3_peak_6764,chr5,150137953,150138655,+,150,NA,promoter-TSS (NM_001135644),promoter-TSS (NM_001135644),-222,NM_001135644,51164,,NM_016221,ENSG00000132912,DCTN4,DYN4|P62,dynactin subunit 4,protein-coding
siBAZ2B_3_peak_2590,chr15,34629486,34630330,+,148,NA,promoter-TSS (NM_001042497),promoter-TSS (NM_001042497),74,NM_001042494,9990,,NM_005135,ENSG00000140199,SLC12A6,ACCPN|CMT2II|KCC3|KCC3A|KCC3B,solute carrier family 12 member 6,protein-coding
siBAZ2B_3_peak_1627,chr11,114165793,114166163,+,143,NA,promoter-TSS (NM_001372045),promoter-TSS (NM_001372045),-81,NM_001372045,4837,,NM_006169,ENSG00000166741,NNMT,-,nicotinamide N-methyltransferase,protein-coding
siBAZ2B_3_peak_8103,chr8,145180487,145180937,+,142,NA,Intergenic,CpG,-11965,NM_016458,51236,,NM_016458,ENSG00000235173,HGH1,BRP16|BRP16L|C8orf30A|C8orf30B|FAM203A|FAM203B,HGH1 homolog,protein-coding
siBAZ2B_3_peak_1343,chr11,51590854,51591338,+,141,NA,Intergenic,ALR/Alpha|Satellite|centr,75814,NM_001004703,119749,,NM_001004703,ENSG00000185926,OR4C46,-,olfactory receptor family 4 subfamily C member 46,protein-coding
siBAZ2B_3_peak_616,chr1,201123317,201123702,+,139,NA,promoter-TSS (NM_001288565),promoter-TSS (NM_001288565),93,NM_001288565,252839,,NM_016456,ENSG00000116857,TMEM9,DERM4|TMEM9A,transmembrane protein 9,protein-coding
siBAZ2B_3_peak_962,chr10,75255199,75255757,+,139,NA,promoter-TSS (NR_132103),promoter-TSS (NR_132103),-32,NR_132103,101929145,,NR_132103,ENSG00000221817,PPP3CB-AS1,USP54-AS1,PPP3CB antisense RNA 1 (head to head),ncRNA
siBAZ2B_3_peak_8388,chr9,125693595,125694124,+,138,NA,promoter-TSS (NM_001304364),promoter-TSS (NM_001304364),-68,NM_020924,57684,,NM_020924,ENSG00000171448,ZBTB26,ZNF481|bioref,zinc finger and BTB domain containing 26,protein-coding
siBAZ2B_3_peak_6354,chr4,120375591,120376116,+,137,NA,promoter-TSS (NR_037630),promoter-TSS (NR_037630),-70,NR_135112,101926918,,NR_135112,ENSG00000291202,GTF2IP12,-,general transcription factor IIi pseudogene 12,pseudo
siBAZ2B_3_peak_2822,chr15,89089602,89090034,+,137,NA,promoter-TSS (NR_135744),promoter-TSS (NR_135744),94,NM_001144074,55070,,NM_017996,ENSG00000140543,DET1,-,DET1 partner of COP1 E3 ubiquitin ligase,protein-coding
siBAZ2B_3_peak_4049,chr19,4247065,4247490,+,137,NA,"intron (NM_018074, intron 1 of 7)","intron (NM_018074, intron 1 of 7)",200,NM_018074,55702,,NM_018074,ENSG00000105248,YJU2,CCDC94,YJU2 splicing factor homolog,protein-coding
siBAZ2B_3_peak_1481,chr11,66247404,66248160,+,134,NA,promoter-TSS (NR_120586),promoter-TSS (NR_120586),-62,NR_120586,101928069,,NR_120586,ENSG00000255517,DPP3-DT,-,DPP3 divergent transcript,ncRNA
siBAZ2B_3_peak_1178,chr11,568524,568955,+,134,NA,promoter-TSS (NR_038262),promoter-TSS (NR_038262),-282,NR_038262,100506211,,NR_038262,ENSG00000247095,MIR210HG,-,MIR210 host gene,ncRNA
siBAZ2B_3_peak_7693,chr7,151038444,151039129,+,133,NA,promoter-TSS (NM_001363529),promoter-TSS (NM_001363529),-112,NM_001385353,51667,,NM_016118,ENSG00000013374,NUB1,BS4|NUB1L|NYREN18,negative regulator of ubiquitin like proteins 1,protein-coding
siBAZ2B_3_peak_7631,chr7,127291885,127292466,+,133,NA,promoter-TSS (NM_014390),promoter-TSS (NM_014390),-73,NM_014390,27044,,NM_014390,ENSG00000197157,SND1,TDRD11|TSN|Tudor-SN|p100,staphylococcal nuclease and tudor domain containing 1,protein-coding
siBAZ2B_3_peak_4629,chr2,9770806,9771476,+,132,NA,promoter-TSS (NM_006826),promoter-TSS (NM_006826),-15,NM_006826,10971,,NM_006826,ENSG00000134308,YWHAQ,14-3-3|1C5|HS1,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,protein-coding
siBAZ2B_3_peak_5217,chr2,220462218,220462976,+,129,NA,promoter-TSS (NM_052902),promoter-TSS (NM_052902),18,NM_052902,114790,,NM_052902,ENSG00000144589,STK11IP,LIP1|LKB1IP|STK11IP1,serine/threonine kinase 11 interacting protein,protein-coding
siBAZ2B_3_peak_2860,chr15,98503564,98504091,+,129,NA,promoter-TSS (NM_183376),promoter-TSS (NM_183376),-106,NM_183376,91947,,NM_183376,ENSG00000140450,ARRDC4,-,arrestin domain containing 4,protein-coding
siBAZ2B_3_peak_8523,chr9_gl000199_random,34292,34745,+,129,NA,NA,ALR/Alpha|Satellite|centr,NA,NA,,,,,,,,
siBAZ2B_3_peak_7095,chr6,146055946,146056335,+,129,NA,"intron (NR_038246, intron 1 of 2)",CpG,135,NR_038246,100507557,,NR_038244,ENSG00000235652,EPM2A-DT,FBXO30-DT,EPM2A divergent transcript,ncRNA
siBAZ2B_3_peak_872,chr10,38265199,38265721,+,129,NA,promoter-TSS (NR_138069),promoter-TSS (NR_138069),115,NM_001329655,219749,,NM_145011,ENSG00000175395,ZNF25,KOX19|Zfp9,zinc finger protein 25,protein-coding
siBAZ2B_3_peak_2198,chr13,44715979,44716456,+,129,NA,promoter-TSS (NR_104064),promoter-TSS (NR_104064),-247,NR_104064,101929212,,NR_104064,ENSG00000227258,SMIM2-AS1,C13orf44-AS1|C3orf81-AS1,SMIM2 antisense RNA 1,ncRNA
siBAZ2B_3_peak_4402,chr19,45988730,45989126,+,128,NA,"3' UTR (NM_206901, exon 7 of 7)","3' UTR (NM_206901, exon 7 of 7)",7583,NM_206901,6253,,NM_005619,ENSG00000125744,RTN2,NSP2|NSPL1|NSPLI|SPG12,reticulon 2,protein-coding
siBAZ2B_3_peak_4023,chr19,2236372,2236716,+,128,NA,promoter-TSS (NM_001300836),promoter-TSS (NM_001300836),-216,NM_018049,55111,,NM_018049,ENSG00000104886,PLEKHJ1,GNRPX,pleckstrin homology domain containing J1,protein-coding
siBAZ2B_3_peak_45,chr1,6453475,6453907,+,128,NA,"5' UTR (NM_007274, exon 1 of 9)","5' UTR (NM_007274, exon 1 of 9)",136,NM_007274,11332,,NM_007274,ENSG00000097021,ACOT7,ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH,acyl-CoA thioesterase 7,protein-coding
siBAZ2B_3_peak_4059,chr19,4867752,4868167,+,127,NA,promoter-TSS (NM_001164194),promoter-TSS (NM_001164194),-280,NM_005817,10226,,NM_005817,ENSG00000105355,PLIN3,M6PRBP1|PP17|TIP47,perilipin 3,protein-coding
siBAZ2B_3_peak_8560,chrUn_gl000225,6659,7024,+,127,NA,NA,BSR/Beta|Satellite|Satellite,NA,NA,,,,,,,,
siBAZ2B_3_peak_6329,chr4,99916405,99917090,+,127,NA,promoter-TSS (NM_015143),promoter-TSS (NM_015143),-125,NM_015143,23173,,NM_015143,ENSG00000164024,METAP1,MAP1A|MetAP1A,methionyl aminopeptidase 1,protein-coding
siBAZ2B_3_peak_2637,chr15,51057409,51057940,+,126,NA,"exon (NM_032802, exon 1 of 15)","exon (NM_032802, exon 1 of 15)",229,NM_032802,84888,,NM_032802,ENSG00000138600,SPPL2A,IMD86|IMP3|PSL2,signal peptide peptidase like 2A,protein-coding
siBAZ2B_3_peak_7649,chr7,134117256,134117619,+,125,NA,Intergenic,MIRb|SINE|MIR,26415,NM_001628,231,,NM_001628,ENSG00000085662,AKR1B1,ADR|ALDR1|ALR2|AR,aldo-keto reductase family 1 member B,protein-coding
siBAZ2B_3_peak_8374,chr9,123605186,123605675,+,125,NA,promoter-TSS (NM_001270427),promoter-TSS (NM_001270427),77,NR_152405,253039,,NR_024408,ENSG00000293514,CUTALP,PSMD5-AS1,"cutA divalent cation tolerance like, pseudogene",pseudo
siBAZ2B_3_peak_2789,chr15,82824692,82825246,+,124,NA,promoter-TSS (NR_111944),promoter-TSS (NR_111944),-104,NM_001021,6218,,NM_001021,ENSG00000182774,RPS17,DBA4|RPS17L|RPS17L1|RPS17L2|S17|eS17,ribosomal protein S17,protein-coding
siBAZ2B_3_peak_8664,chrX,48748488,48749180,+,124,NA,Intergenic,CpG,-6361,NM_001032381,10084,,NM_005710,ENSG00000102103,PQBP1,MRX2|MRX55|MRXS3|MRXS8|NPW38|RENS1|SHS,polyglutamine binding protein 1,protein-coding
siBAZ2B_3_peak_6482,chr5,32312900,32313507,+,124,NA,promoter-TSS (NM_001294343),promoter-TSS (NM_001294343),-158,NM_001294344,54545,,NM_019061,ENSG00000150712,MTMR12,3-PAP|PIP3AP,myotubularin related protein 12,protein-coding
siBAZ2B_3_peak_273,chr1,59762177,59762791,+,123,NA,promoter-TSS (NM_001350793),promoter-TSS (NM_001350793),-1,NM_001350796,55277,,NM_018291,ENSG00000172456,FGGY,-,FGGY carbohydrate kinase domain containing,protein-coding
siBAZ2B_3_peak_2310,chr14,24682330,24683000,+,122,NA,promoter-TSS (NM_014169),promoter-TSS (NM_014169),29,NM_014169,29082,,NM_014169,ENSG00000254505,CHMP4A,C14orf123|CHMP4|CHMP4B|HSPC134|SHAX2|SNF7|SNF7-1|VPS32-1|VPS32A|hSnf7-1,charged multivesicular body protein 4A,protein-coding
siBAZ2B_3_peak_6694,chr5,137089976,137090736,+,122,NA,promoter-TSS (NM_006805),promoter-TSS (NM_006805),-304,NM_006805,10949,,NM_006805,ENSG00000177733,HNRNPA0,HNRPA0,heterogeneous nuclear ribonucleoprotein A0,protein-coding
