,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,Overall Score,GO Terms
0,A0A087WUL8,,https://www.antibodypedia.com/gene/82366/NBPF19,0,0.0,0,0,0,0.0,['GO:0005737']
1,A0A5B6,,,0,0.0,0,0,0,0.0,"['GO:0005886', 'GO:0042101', 'GO:0042605', 'GO:0002250', 'GO:0007166']"
2,A2RRP1,NBAS,https://www.antibodypedia.com/gene/26924/NBAS,84,24.0,370,10,0,1.409863272712362,"['GO:0005829', 'GO:0070939', 'GO:0005783', 'GO:0005789', 'GO:0016020', 'GO:0000149', 'GO:2000623', 'GO:0000956', 'GO:0015031', 'GO:0006890']"
3,A4UGR9,XIRP2,https://www.antibodypedia.com/gene/33785/XIRP2,50,14.0,62,4,0,0.6602875383417848,"['GO:0070161', 'GO:0030018', 'GO:0051015', 'GO:0051393', 'GO:0007015', 'GO:0055008', 'GO:0045216', 'GO:0110053', 'GO:0003281']"
4,A5PKW4,PSD,https://www.antibodypedia.com/gene/31428/PSD,50,16.0,10801,2,0,-8.396323804844265,"['GO:0032154', 'GO:0043197', 'GO:0099092', 'GO:0032587', 'GO:0005085', 'GO:0005543', 'GO:0031175', 'GO:0032012', 'GO:0007165']"
5,A6NCQ9,RNF222,https://www.antibodypedia.com/gene/62437/RNF222,6,6.0,0,0,0,0.009636407088037533,"['GO:0016020', 'GO:0046872']"
6,A6NIE6,,,0,0.0,0,0,2,0.8960924791021734,"['GO:0005634', 'GO:0001042', 'GO:0001181', 'GO:0006361']"
7,A6NJZ7,RIMBP3C,https://www.antibodypedia.com/gene/21503/RIMBP3C,0,0.0,1,0,0,-0.0008139850761574106,"['GO:0005737', 'GO:0005856', 'GO:0005634', 'GO:0030156', 'GO:0009566', 'GO:0007286']"
8,A6NMT0,DBX1,https://www.antibodypedia.com/gene/42553/DBX1,105,22.0,125,2,3,1.7262533185058562,"['GO:0000785', 'GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0021515', 'GO:0006357', 'GO:0021521']"
9,A6NNZ2,,https://www.antibodypedia.com/gene/71184/TUBB8B,15,4.0,0,1,0,0.1817038228859017,"['GO:0005737', 'GO:0070062', 'GO:0045171', 'GO:0005874', 'GO:0015630', 'GO:0072686', 'GO:0005525', 'GO:0003924', 'GO:0046872', 'GO:0005200', 'GO:0000226', 'GO:0000278']"
10,A6NNZ2,,https://www.antibodypedia.com/gene/71184/TUBB8B,15,4.0,0,1,0,0.1817038228859017,"['GO:0005737', 'GO:0070062', 'GO:0045171', 'GO:0005874', 'GO:0015630', 'GO:0072686', 'GO:0005525', 'GO:0003924', 'GO:0046872', 'GO:0005200', 'GO:0000226', 'GO:0000278']"
11,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,9,8.0,10,4,0,0.6367659805337137,"['GO:0005776', 'GO:0005814', 'GO:0005829', 'GO:0005769', 'GO:0031901', 'GO:0005770', 'GO:0055037', 'GO:0055038', 'GO:0071203', 'GO:0003779', 'GO:0043014', 'GO:0043015', 'GO:0141039', 'GO:0031625', 'GO:0034314', 'GO:0032456', 'GO:0016197', 'GO:0006887', 'GO:0022617', 'GO:0010507', 'GO:0030335', 'GO:0031274', 'GO:0015031', 'GO:0034315', 'GO:0031396', 'GO:0042147']"
12,A8K0Z3,WASHC1,https://www.antibodypedia.com/gene/75837/WASHC1,9,8.0,10,4,0,0.6367659805337137,"['GO:0005776', 'GO:0005814', 'GO:0005829', 'GO:0005769', 'GO:0031901', 'GO:0005770', 'GO:0055037', 'GO:0055038', 'GO:0071203', 'GO:0003779', 'GO:0043014', 'GO:0043015', 'GO:0141039', 'GO:0031625', 'GO:0034314', 'GO:0032456', 'GO:0016197', 'GO:0006887', 'GO:0022617', 'GO:0010507', 'GO:0030335', 'GO:0031274', 'GO:0015031', 'GO:0034315', 'GO:0031396', 'GO:0042147']"
